"Date","Chrome","Firefox","Safari","IE","Edge Legacy","Opera","Coc Coc","UC Browser","QQ Browser","360 Safe Browser","Yandex Browser","Sogou Explorer","Chromium","Whale Browser","Edge","Maxthon","Mozilla","Vivaldi","Waterfox","Other"
2020-01-01,73.44,8.38,6.02,3.84,2.87,2.11,0.56,0.78,0.47,0.07,0.42,0.3,0.33,0.16,0,0.11,0.04,0.03,0.01,0.05
2020-01-02,75.64,7.8,5.46,3.48,2.43,1.72,0.89,0.66,0.46,0.2,0.27,0.28,0.31,0.2,0,0.1,0.03,0.02,0.01,0.05
2020-01-03,76.18,7.76,5.49,2.98,2.5,1.77,0.89,0.68,0.4,0.04,0.3,0.29,0.31,0.21,0,0.09,0.03,0.02,0.01,0.04
2020-01-04,74.32,8.29,5.65,3.42,2.78,2.03,0.76,0.8,0.45,0.06,0.39,0.31,0.34,0.15,0,0.11,0.03,0.02,0.02,0.05
2020-01-05,73.6,7.62,6.47,3.83,3.11,2.18,0.61,0.78,0.48,0.05,0.42,0.33,0.07,0.18,0,0.12,0.04,0.02,0.02,0.05
2020-01-06,76.3,7.81,5.55,3.05,2.47,1.71,0.83,0.63,0.39,0.04,0.31,0.25,0.29,0.19,0,0.09,0.03,0.02,0.01,0.03
2020-01-07,76.21,7.81,5.6,3.12,2.47,1.71,0.82,0.63,0.39,0.04,0.3,0.26,0.26,0.19,0,0.08,0.04,0.02,0.01,0.03
2020-01-08,76.39,7.93,5.55,2.9,2.46,1.72,0.81,0.63,0.39,0.03,0.33,0.25,0.25,0.21,0,0.08,0.02,0.02,0.01,0.03
2020-01-09,76.57,7.83,5.4,2.97,2.45,1.7,0.81,0.63,0.38,0.03,0.31,0.26,0.26,0.21,0,0.09,0.03,0.02,0.01,0.03
2020-01-10,76.13,7.85,5.46,3.05,2.5,1.7,0.8,0.7,0.44,0.02,0.34,0.29,0.33,0.21,0,0.09,0.03,0.03,0.01,0.04
2020-01-11,74.69,8.37,5.55,3.11,2.76,2.09,0.73,0.78,0.5,0.03,0.43,0.32,0.27,0.16,0,0.12,0.03,0.02,0.01,0.04
2020-01-12,74.1,7.71,6.54,3.44,3,2.13,0.56,0.76,0.53,0.03,0.42,0.33,0.05,0.16,0,0.12,0.04,0.03,0.01,0.04
2020-01-13,76.62,7.8,5.74,2.81,2.47,1.7,0.71,0.59,0.38,0.02,0.29,0.25,0.24,0.2,0,0.08,0.03,0.03,0.01,0.03
2020-01-14,76.29,7.79,5.72,3.09,2.48,1.69,0.73,0.59,0.43,0.03,0.29,0.25,0.24,0.2,0,0.09,0.03,0.02,0.01,0.03
