"Date","Chrome","Safari","Firefox","Edge Legacy","IE","Opera","Mozilla","Edge","360 Safe Browser","Chromium","Yandex Browser","Maxthon","QQ Browser","Pale Moon","Sogou Explorer","Vivaldi","Waterfox","UC Browser","Coc Coc","SeaMonkey","Other"
2020-01-01,54.38,17.38,9.83,10.73,5.5,1.01,0.65,0,0.08,0.1,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.01,0.02,0.04
2020-01-02,58.73,14.27,8.91,9.5,6.77,0.79,0.46,0,0.18,0.07,0.03,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.03
2020-01-03,59.16,14.26,9.21,9.13,6.53,0.83,0.45,0,0.08,0.07,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.03
2020-01-04,54.74,16.95,9.98,10.1,5.65,0.96,0.73,0,0.12,0.4,0.04,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.01,0.02,0.04
2020-01-05,54.57,17.69,9.75,10.07,5.16,1.02,0.83,0,0.09,0.49,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.01,0.01,0.04
2020-01-06,61.1,13.55,8.71,8.34,6.49,0.75,0.47,0,0.07,0.24,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.03
2020-01-07,62.4,12.89,8.7,8.06,6.24,0.74,0.47,0,0.07,0.14,0.04,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0.03
2020-01-08,60.97,13.27,10.48,7.79,5.83,0.73,0.47,0,0.05,0.14,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.02
2020-01-09,63.17,12.62,8.37,8.07,6.14,0.7,0.47,0,0.07,0.1,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.03
2020-01-10,63.24,12.72,8.52,8,5.96,0.7,0.45,0,0.06,0.07,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.03
2020-01-11,56.26,16.38,9.69,9.96,5.32,1.02,0.76,0,0.09,0.1,0.07,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.04,0.02,0.04
2020-01-12,55.77,17.12,9.75,9.87,4.96,1.06,0.85,0,0.11,0.09,0.07,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.05,0.02,0.04
2020-01-13,62.94,12.95,8.4,8,5.98,0.77,0.48,0,0.06,0.07,0.06,0.03,0.04,0.03,0.03,0.02,0.02,0.03,0.04,0.01,0.03
2020-01-14,63.06,12.88,8.49,7.94,5.96,0.75,0.44,0,0.09,0.07,0.06,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.01,0.03
2020-01-15,63.15,12.96,8.33,8,5.87,0.77,0.45,0,0.07,0.07,0.06,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.01,0.03
2020-01-16,63.08,12.84,8.29,8.13,6.02,0.72,0.48,0,0.06,0.07,0.05,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.03
2020-01-17,62.5,13.23,8.41,8.41,5.8,0.69,0.55,0,0.05,0.07,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.03
2020-01-18,55.94,16.84,9.69,10.11,5.14,0.91,0.86,0,0.06,0.1,0.05,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.01,0.02,0.03
2020-01-19,55.54,17.3,9.67,10.05,5.06,0.92,0.92,0,0.08,0.11,0.06,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.01,0.04
2020-01-20,58.23,15.16,9.03,9.47,6.21,0.79,0.66,0,0.05,0.08,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.02,0.03
2020-01-21,62.51,13.14,8.89,8.16,5.77,0.66,0.49,0,0.05,0.07,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02
2020-01-22,62.71,12.98,8.62,8.13,5.97,0.72,0.49,0,0.04,0.09,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.03
2020-01-23,62.85,13.12,8.33,8.25,5.85,0.73,0.48,0,0.06,0.08,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.03
2020-01-24,62.7,13.01,8.49,8.2,5.85,0.75,0.55,0,0.09,0.08,0.04,0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.03
